Mar 19, 2021	389.88	391.57	387.15	389.48	389.48	112,777,800
Mar 19, 2021	1.278 Dividend
Mar 18, 2021	394.48	396.72	390.75	391.48	390.20	115,112,500
Mar 17, 2021	394.53	398.12	393.30	397.26	395.96	91,822,000
Mar 16, 2021	397.07	397.83	395.08	395.91	394.62	72,958,000
Mar 15, 2021	394.33	396.69	392.03	396.41	395.12	73,427,200
Mar 12, 2021	392.07	394.21	391.20	394.06	392.77	64,608,100
Mar 11, 2021	392.23	395.65	391.74	393.53	392.25	86,027,400
Mar 10, 2021	389.69	391.40	388.17	389.58	388.31	109,660,800
Mar 09, 2021	385.85	389.91	385.31	387.17	385.91	113,457,800
Mar 08, 2021	384.66	387.68	381.42	381.72	380.47	122,957,100
